Title,Type,StreetAddress,City,Latitude,Longitude,ImageUrl,Information,BranchId,WorkingHours
Shareif Mall,"67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Fujairah,25.601464,56.271473,/img/locator/icon-logo-34x34.png,"&nbsp;Dibba, Fujairah<br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash withdrawal</span></li><li><span style=""font-size: 12px;"">Bill payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit (Not available)</span></li></ul><br>",0,8am to 3pm (Sat-Thu)
Al Noor Bakery,"67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a",,Al Ain,24.225309,55.7336,/img/locator/icon-logo-34x34.png,"Abu Dhabi Rd Al Muhaiji <br>Al Ain <br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash withdrawal</span></li><li><span style=""font-size: 12px;"">Bill payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span><br></li></ul>",0,8am to 3pm (Sat-Thu)
"Zayed The First, Abu Dhabi Branch","4cdcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,9ea214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,49dcfbfe-458f-66de-b8c5-ff0000b6b24a,9936fcfe-458f-66de-b8c5-ff0000b6b24a,343b0fff-458f-66de-b8c5-ff1000b6b24a,4adcfbfe-458f-66de-b8c5-ff0000b6b24a,cb4102ff-458f-66de-b8c5-ff0b00b6b24a,45dcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a,47dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Abu Dhabi,24.49177,54.370989,/img/locator/icon-logo-34x34.png,"Zayed The First Street&nbsp; (Old Electra Street),<br>Next to El Dorado Cinema<br><p><span style=""font-size: 12.5px;""><strong>ATM Services:</strong>&nbsp;</span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal&nbsp;</span></li><li><span style=""font-size: 12px;"">Smart Cash Deposit</span></li><li><span style=""font-size: 12px;"">Cheque Deposit Machine</span></li><li><span style=""font-size: 12px;"">Bill Payment (by Account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (by Account)</span></li></ul><br><br>",30,"08:00 AM to 03:30 PM (Monday - Thursday), 07:30 AM to 12:30 PM (Friday)"
Aloft Hotel,"4edcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,24.866969,55.146684,/img/locator/icon-logo-34x34.png,"Aviation City, Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Tasheel Al Garhoud,"46dcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.246608,55.33857,/img/locator/icon-logo-34x34.png,"Al Garhoud, Dubai <br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Mall of Emirates,"67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.118108,55.200426,/img/locator/icon-logo-34x34.png,"Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit <strong>not available</strong></span></li></ul>",0,8am to 3pm (Sat-Thu)
Rashid Hospital,"4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.244369,55.318397,/img/locator/icon-logo-34x34.png,"Umm Hurair 2, Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Latifa Hospital,"46dcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,4edcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a",,Dubai,25.223361,55.318146,/img/locator/icon-logo-34x34.png,"Oud Metha Rd. Al Jaddaf <br>Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Dubai Hospital,"4edcfbfe-458f-66de-b8c5-ff0000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.285399,55.321495,/img/locator/icon-logo-34x34.png,"222 Al Khaleej Rd. Deira Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;</span></li></ul>",0,8am to 3pm (Sat-Thu)
Al Garhoud Private Hospital,"4edcfbfe-458f-66de-b8c5-ff0000b6b24a,4bdcfbfe-458f-66de-b8c5-ff0000b6b24a,67a214ff-458f-66de-b8c5-ff1000b6b24a,9ba214ff-458f-66de-b8c5-ff1000b6b24a,46dcfbfe-458f-66de-b8c5-ff0000b6b24a",,Dubai,25.250635,55.342381,/img/locator/icon-logo-34x34.png,"Al Garhoud, Near Millennium<br>Airport Hotel, Dubai<br><p><span style=""font-size: 12px;""><strong>ATM Services:</strong></span></p><ul><li><span style=""font-size: 12px;"">Cash Withdrawal</span><br></li><li><span style=""font-size: 12px;"">Bill Payment (By account)</span></li><li><span style=""font-size: 12px;"">Fund Transfer (By account)</span></li><li><span style=""font-size: 12px;"">Cash Deposit not available&nbsp;<strong></strong></span></li></ul>",0,8am to 3pm (Sat-Thu)
