Lat,Lng,Service,City,LocationName,Address,Icon,ViewUrl,Type
24.738793,46.829578,Branches and Sales Centers,Riyadh,Alnaseem,Hassan Ibn Thabet road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
20.46791,44.788108,Branches and Sales Centers,Wadi Al-Dawasir,Wadi Aldawaser,Hizam street-Alkarabaie st,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.548718,46.695825,Branches and Sales Centers,Riyadh,Alshafaa,Ibn Taimia road/Alshafa,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.362948,50.197791,Branches and Sales Centers,ALKHOBAR,Alraka,Khalid bin Alwaleed street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.734467974620365,46.78365430609136,Branches and Sales Centers,Riyadh,Alroudha,"Khalid Ibn Al Walid St, Ar Rawdah,",/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.734394585591065,46.78365430609136,Branches and Sales Centers,Riyadh,Alrawdah,"Khalid Ibn Al Walid St, Ar Rawdah,",/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
21.61217,39.119604,Branches and Sales Centers,JEDDAH,Alshati,king abdulaziz branch road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
27.007529,49.661173,Branches and Sales Centers,JUBAIL,Albalad,king Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.332889,43.970022,Branches and Sales Centers,BURAIDAH,Alkhbeb,king Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.517426,44.414218,Branches and Sales Centers,ALDAWADMI,Aldawadmi,king abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
30.979941,41.018652,Branches and Sales Centers,ARAR,"Alrowdha, Arar",king abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
28.429025,45.975553,Branches and Sales Centers,Hafr Al-Batin,Hafr Abatin,king Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.806315,46.650471,Branches and Sales Centers,Riyadh,Alsahafa,king abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.552969,42.044581,Branches and Sales Centers,Mahail Aseer,Mahayel aseer,King Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.548505,39.141377,Branches and Sales Centers,JEDDAH,Khalidiya,king abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.648733,39.112089,Branches and Sales Centers,JEDDAH,,King Abdulaziz road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
26.149043,43.652536,Branches and Sales Centers,Bekeriah,Albukairia,king abdulaziz road interception with king abdullah road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
25.859762,44.220746,Branches and Sales Centers,Methnab,Almethneb,king Abdulaziz road-Dowar Alfalak,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
20.012141,41.464281,Branches and Sales Centers,ALBAHA,Albaha,king abdulaziz street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
27.498999,41.697822,Branches and Sales Centers,Hail,Hail,king Abdulaziz street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
27.498997,41.697822,Branches and Sales Centers,Hail,Hail,King Abdulaziz street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
29.960542,40.204016,Branches and Sales Centers,Skaka,"Alshalhob, Skaka",king Abdulaziz street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
17.543073,44.223388,Branches and Sales Centers,Najran,Najran,King Abdulaziz street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.433258,39.655363,Branches and Sales Centers,Madina,King Abdullah Road,King Abdullah bin Abdulaziz Rd- Second ring- Mahzor district,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.37370497415034,43.95772341949543,Branches and Sales Centers,BURAIDAH,Alsafraa,King Abdullah interception with King Fahad,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.485914,39.586544,Branches and Sales Centers,Madina,Sultana,King Abdullah Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.485886,39.586479,Branches and Sales Centers,Madina,Sultana,King Abdullah Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
43.95772341949543,43.95772341949543,Branches and Sales Centers,BURAIDAH,Alsafraa,King Abdullah Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.178086,47.348563,Branches and Sales Centers,ALKHARJ,Alalya Self Service Center,King Abdullah road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
24.466311,39.664838,Branches and Sales Centers,Madina,King Abdullah Road,King Abdullah Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
