atmLocations/atmLocationId,atmLocations/name,atmLocations/site,atmLocations/coordinate,atmLocations/emirate,atmLocations/location,atmLocations/status,atmLocations/atmType
e206a929-9546-4b9a-9dcc-d9d23a0d42aa,Saad Exchange FUJ,Public,"25.0836698,56.2881682",Fujairah,Al Hyal Industrial Area G Block ,,C3Pay
0f857ed2-1d22-ec11-93a7-8086f2aa5252,Safeer Center-Mussafa,Public,"24.342796,54.530382",Abu Dhabi,"ATM located inside ATM lobby of the market, Mussafah Industrial area.",,RAKBANK
7f857ed2-1d22-ec11-93a7-8086f2aa5252,Safeer Centre Khorfakkan,Public,"25.355147, 56.350047",Sharjah,ATM located near to the side entrance,,RAKBANK
7e857ed2-1d22-ec11-93a7-8086f2aa5252,Sahara Center,Public,"25.297480,55.372751",Sharjah,"ATM located inside the center , next to the food court at first floor.",,RAKBANK
3c857ed2-1d22-ec11-93a7-8086f2aa5252,Sahraa Al Madina Supermarket,Public,"25.170483, 55.413548",Dubai,"ATM located next to the entrance of the supermarket, China Cluster B01.",,RAKBANK
54857ed2-1d22-ec11-93a7-8086f2aa5252,San Marco Hotel,Public,"25.278324,55.30998",Dubai,"ATM located next to the main entrance of the hotel, behind the Burger king outlet.",,RAKBANK
3b857ed2-1d22-ec11-93a7-8086f2aa5252,Sanad Al Madina,Public,"25.172871, 55.403917",Dubai,"ATM located at the right side of the entrance of the supermarket, England Cluster , Y - 14",,RAKBANK
716948cf-cd0c-4226-ae6c-c9d848cbc512,SEPCOIII Electric Power Construction Taweelah Abu Dhabi,Not open to public,"24.7430216,54.6859751",Abu Dhabi,Taweelah Abu Dhabi,,C3Pay
79d658d3-4409-4c15-b7e5-22948b556472,Sharaf Exchange Al Nadha SHJ,Public,"25.3029528,55.382286",Sharjah,Al Nahda Sharjah,,C3Pay
6b44865b-b78a-45fe-aa3d-a7f5e779f2dd,Sharaf Exchange Mafraq Abu Dhabi,Public,"24.2549156,54.6310473",Abu Dhabi,Al Rayan Camp Baniyas,,C3Pay
a9595ebb-2732-4d97-9381-7b467555d8cf,Sharjah Cement Factory SHJ,Not open to public,"25.2962222,55.6167443",Sharjah,Industrial Area Al Sajaa,,C3Pay
7d857ed2-1d22-ec11-93a7-8086f2aa5252,Sharjah City Center,Public,"25.325010,55.393061",Sharjah,ATM located next to the entrance of P1 parking area,,RAKBANK
6d857ed2-1d22-ec11-93a7-8086f2aa5252,Sheikh Khalifa Speciality Hospital,Public,"25.624199, 55.839506 ",RAK,ATM located at the designated area in the hospital lobby near to the main reception,,RAKBANK
26857ed2-1d22-ec11-93a7-8086f2aa5252,Spinneys Meydan ,Public,"25.151402, 55.295987",Dubai,"ATM located at the dedicated ATM lobby area in the ground floor, near to the Office lifts. ",,RAKBANK
3a857ed2-1d22-ec11-93a7-8086f2aa5252,Spinneys Motorcity,Public,"25.045903, 55.241650",Dubai,"ATM located to the left side of the main entrance, Fox hill 1",,RAKBANK
2c857ed2-1d22-ec11-93a7-8086f2aa5252,"Spinneys Supermarket, DSO",Public,"25.127228,55.396854",Dubai,"ATM located at  the entrance of the Community Center, Cedre Villas, DSO.",,RAKBANK
84857ed2-1d22-ec11-93a7-8086f2aa5252,"Star City Supermarket, Jafza",Public,"25.008943, 55.094260",Dubai,ATM located near to the entrance of the supermarket,,RAKBANK
2b681ea4-d8f1-4b20-9d39-b700d35660f6,Suhail Al Mazroui Group - Al Jaber EH  Habshan Abu Dhabi,Public,"23.7452153,53.5048303",Abu Dhabi,Habshan Abu Dhabi,,C3Pay
1d857ed2-1d22-ec11-93a7-8086f2aa5252,Tas'heel Ajman,Public,"25.3899,55.465422",Ajman,"ATM located next to the main entrance of the Tasheel outlet, Sh Khalifa Bin Zayed St.",,RAKBANK
71857ed2-1d22-ec11-93a7-8086f2aa5252,Tasjeel Village,Public,"25.699717, 55.933217",RAK,ATM located inside the Zoom outlet adjacent to ENOC Petrol station,,RAKBANK
2b857ed2-1d22-ec11-93a7-8086f2aa5252,The Meadows souk,Public,"25.054414, 55.170459",Dubai,ATM located in the ATM lobby towards Fitness First entrance.,,RAKBANK
25857ed2-1d22-ec11-93a7-8086f2aa5252,The Ranches Souk,Public,"25.029267, 55.270582",Dubai,"ATM located at the right side of the main entrance near to the pet shop,near Arabian Ranches 2.",,RAKBANK
5e857ed2-1d22-ec11-93a7-8086f2aa5252,Traffic Driving & Licensing Department – RAK Police,Public,"25.723806, 55.872190",RAK,ATM located next to the reception of the Traffic Department,,RAKBANK
f541cebb-7bb8-446a-bfdb-9c314e7e04b5,Trojan General Contracting  Mbazzarah Al Khadra Al Ain 8,Not open to public,"24.0606667,55.730478",Al Ain,"Mbazzarah Al Khadra, Jabel Hafeet",,C3Pay
fd9ec44c-42b7-42fe-9efd-cfe80295da2e,"Trojan General Contracting Al Al Ajban, AUH 7",Not open to public,"24.6073317,55.0013074",Abu Dhabi,"Al Ajban Zayed Military, Sweihan ",,C3Pay
3a3ffce2-20b1-4b0a-ba3d-895fce9f4f3c,"Trojan General Contracting Al Reef, AUH ATM 3",Not open to public,"24.4646394,54.6551255",Abu Dhabi,"Al Reef, Abu Dhabi",,C3Pay
ceeeecb7-20bd-4405-b795-d1e97d4405cd,"Trojan General Contracting Al Reef, AUH ATM 4",Not open to public,"24.4646394,54.6551255",Abu Dhabi,"Al Reef, Abu Dhabi",,C3Pay
0564085a-55b7-4a0c-ad06-b2bc14a6b45e,"Trojan General Contracting Al Reef, AUH ATM 5",Not open to public,"24.4646394,54.6551255",Abu Dhabi,"Al Reef, Abu Dhabi",,C3Pay
9e100980-afdf-4d48-8914-8cb151db77f9,"Trojan General Contracting Al Shahama, AUH 6",Not open to public,"24.5457384,54.6954332",Abu Dhabi,Al Shahama ,,C3Pay
930a0bc4-c34d-4b9f-b3f6-eee0623b0d7b,Trojan General Contracting Water Font Dubai ATM 1,Not open to public,"24.9348611,54.9731446",Dubai,Mina Jabel Ali,,C3Pay
35ffe331-c515-4a7a-a447-90ac34b1bd66,Trojan General Contracting Water Font Dubai ATM 2,Not open to public,"24.9348611,54.9731446",Dubai,Mina Jabel Ali,,C3Pay
58857ed2-1d22-ec11-93a7-8086f2aa5252,Umm Ramool,Public,"25.234196,55.354078",Dubai,"ATM located at the building entrance, near  Al Khaleej International School, Umm Ramool.",,RAKBANK
39857ed2-1d22-ec11-93a7-8086f2aa5252,"Union coop, Al Aweer",Public,"25.175212, 55.386802",Dubai,"ATM located next to the entrance, near pharmacy gate, Dubai Central Fruit and Vegetable Market in Ras Al Khor ",,RAKBANK
47857ed2-1d22-ec11-93a7-8086f2aa5252,VFS - Wafi Mall,Public,"25.229204, 55.319450",Dubai,"ATM located next to entrance of VFS Office at the second floor, Wafi Mall",,RAKBANK
49199aa8-c788-461f-9197-93beb6631164,Wade Adam Jabel Ali,Not open to public,"25.0011546,55.1075185",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
75857ed2-1d22-ec11-93a7-8086f2aa5252,Wafa Centre,Public,"25.349781,55.408795",Sharjah,"ATM located inside the main entrance of the store, Yarmook.",,RAKBANK
30857ed2-1d22-ec11-93a7-8086f2aa5252,Waitrose Motorcity,Public,"25.041620, 55.229333",Dubai,"ATM located near to the entrance of the Digital Branch, adjacent to Waitrose Outlet",,RAKBANK
77507f30-3bee-4026-a369-58cf4b378401,Wall Street Exchange Hor Al Anz DXB,Public,"25.3086316,55.3276062",Dubai,"Hor Al Anz, Dubai",,C3Pay
e752de9b-6c77-4a60-8d71-68285fc40779,Wall Street Exchange Salem Mall Jabel Ali DXB,Public,"24.982095,55.1373578 ",Dubai,Salem Mall Jabel Ali,,C3Pay
38857ed2-1d22-ec11-93a7-8086f2aa5252,Water Front Market Place,Public,"25.291776, 55.323603",Dubai,ATM Located next to the fish market entrance,,RAKBANK
13857ed2-1d22-ec11-93a7-8086f2aa5252,Yas Mall,Public,"24.488600, 54.609153",Abu Dhabi,ATM located at the north east square near to the escalator coming from Geant Hypermarket on lower ground to ground floor,,RAKBANK
