ATMS/id,ATMS/name,ATMS/district,ATMS/latitude,ATMS/longitude,ATMS/zoom
HqHCAVVXKdLFlD2uVIDL,Beit Our ATM,,31.894084,35.090031,20
Htsi9EfvKCGjfwsptyxR,Fawry Talbya,,31.24051,29.96362,20
HuSOF2SfT5kibbldKLk4,Karkafeh,,31.712525,35.207255,20
IU09H0YHOd0UHVD1B2be,Safeway 7th,,31.954568,35.856065,20
IcVzIi9hCgUTItKRGV10,Boulevard 1,,31.965502,35.903755,20
IixuDexPWAf42C9bINGH,Marka 2,,31.98077756,35.98577213,20
InbyJfdbIwPqcbh8GyAJ,Al-Sheikh Build.,,31.899749,35.210452,20
ItIPRMTVi57En8aygo3h,TAGAMOA EL AWEL BRANCH,,30.053427,31.431547,20
J5KLVqkqa2loOU8mqBKQ,SHERATON BRANCH ,,30.099136,31.372644,20
J9rUvOzsDEYMo7zsEdAz,Al Masyoon,,31.889674,35.200442,20
JAfYAhDpD93TcdO8RR97,Jdita,,33.81761,35.846272,20
JBJYLD9Q2wub4p28dTRd,REHAB MALL 2,,30.061487,31.482403,20
JCVg28L6I2LcNJnaRlL2,Mega Gas Station,,32.32375,35.0295,20
JI5Y8a1jlBShueNyST2s,Dabouq 2,,31.9977,35.8219,20
JIaWbHMdlGeSh9cBMMKz,Zain 8th,,31.963049,35.844623,20
JLSElzKzLkcKj3qdPmpt,International Pharmacy,,31.758072,35.957095,20
JeR50iXW89tMToJcnnsO,Qabatia,,32.410002,35.283161,20
JvKeo5DfyHX7BbeOOLl5,Um Uthaina /Drive Thru ATM,,31.973,35.873,20
JvQrKZUGQlBN5D864pPo,Marj Al-Hamam ,,31.892771,35.842713,20
KBVNc1Ekx0S292umknBW,Wadi Al Haria,,31.508614,35.091232,20
KJXHJufA9wp6IpI7RFng,Al-Mashaghel Circle,,31.9937792,35.92978064,20
KKNyaq5YDq9SPn6PDhJF,Al-Nakheel Area ,,31.903,35.859,20
KRzLeZN5xGiSvteufegI,Millennium Hotel ATM,,31.895766,35.204944,20
KWhSSgZJ5pq3jUIf9m8f,Salt Gate Branch,,32.056901,35.749695,20
KnSlgacv7KplYK7wstwN,Royal Court,,31.958769,35.944937,20
L2ybdZKhmjZHaJ9pQD0H,Beirut Arab University,,33.873,35.497,20
LFFeJ6u1KPWAE12YgmUY,Airport Road Branch,,31.92234,35.85925,20
LYQXSXZPVE5FQIDJbpTj,South Shouneh,,31.897718,35.622256,20
LbH1jfAONuMQoSKoYIdh,head Office,,31.965,35.899,20
LsLtnBJlwJVsZX3AO4Hq,Bir Nabala,,31.85121941,35.8085208,20
M9tns85QdOYBaNGJlXOg,Taiz Street,,15.335367,44.222589,20
MBINR7gSZnCSRJOlgLFU,TOTAL KATAMEYA,,29.983232,31.367228,20
MIJchQsEZX61Lgpckfyw,Beddo Branch,,31.836,35.151,20
MQWrtieI931eUJUlIvfL,ARAB ACADEMY/MAIMI ,,31.264893,29.997932,20
MQuQTM51fNdWTcEBD0xC,BONJOUR MARKET MAADI DEGLA,,29.9614056,31.2758717,20
Mdzrk3U1c1LOWu6TrSzJ,South Marka -Racing Club Circle,,31.959374,35.979106,20
MqyGtDxq2igNgp77Bzte,ORANGE TELECOM ATM  ,,30.0724365,31.0155422,20
MvDu2GWWYgQoqQW6Tr6S,Chillout Suez ,,30.080193,31.397442,20
N3hBNkpcsu12WBhNiGZ4,Abdoun 2,,31.948412,35.893375,20
N5DKwqromc5MOCGlM4bX,Eye Specialty Hospital,,31.99802,35.8729,20
N7iVsqCoieXwA0fBB9JP,Yaser Mall,,31.955,35.834,20
N9KwTOjPE3ztUgnWW4kz,Hussein Cancer Center,,32.005,35.875,20
NBaKiBRDiUSAOUI0Ol7h,Al-Rasheed,,32.02112276,35.8865656,20
NIzpW3bUGCt914eQuak2,AL Rihan,,31.951574,35.183972,20
NULloPN3891hRCuFSLQu,Khadouri,,32.524129,35.038028,20
NcM6ZBgb5iRFG5do84Xm,Jabal Al Nasser,,31.93964146,35.97778722,20
NjF8lFO9D5QfqshMMAdF,Aqaba Regional,,29.539,35.014,20
NkNtbvp9XJzx0ZHNZNWN,Ghada supermarket ATM,,32.01062419,35.88214858,20
NlfgKuW1tTxRap0raTIx,Beirut Downtown,,33.895853,35.503049,20
Nw9u8iHqqIXK57NcoZ0f,THAWRA BRANCH,,30.047594,31.214211,20
NzJ9jlmAR5XNGE0EAz4M,Al Shalaleh branch ,,31.525306,35.106841,20
O7y3Lbi5wIxh8RTI7V2Q,Al Quds University,,31.75741,35.261189,20
O8Bi9m81G4sMZZ7Fq480,Hebron center,,31.531234,35.09749,20
OCVIGjt08WLgLV6JfVZn,Total Yajouz Drive-Thru ATM,,32.027607,35.897831,20
ODFC0QLdDAQfvtUxC2mB,MUST BRANCH,,29.994564,30.967136,20
OEtl9iEArynWx2A1JgSq,Manaseer Koridour Abdoun Drive Thru ATM,,31.925059,35.8689553,20
OJjW0ktdisu4Yoy63bAj,Muhajereen,,31.944688,35.929552,20
OlK53lpsjjnpVLPz8AuC,SODIC BRANCH,,30.058018,30.940193,20
OogtFKUl9TvAIFqM7DqU,MALL OF EGYPT BRANCH,,29.972263,31.016958,20
Oyl1oTNiqX7YjnbatiEj,Hebron gate,,31.3337,35.0601,20
P4PAkpb74LkHnlHVXCVg,Irbid Mall,,32.541181,35.844561,20
PDDt96w67vs2COx6COZ1,Ikea Amman,,31.82651285,35.90158869,20
PFw5jqOO0VeibT9rkF6K,Rawabi branch ,,32.01138,35.19021,20
POwUD3fwjisXMTSzCjX5,Irbid City Center,,32.53585046,35.865315,20
PQrjEUZlvVddbIxiZ3XP,HARAM BRANCH,,30.009916,31.202456,20
PTaOVmq95xBzywCjWT5S,Ctown Istiklal Mall,,31.979696,35.921988,20
PbuvumLu0pxcnnFo2iFP,IBB ,,13.975331,44.172152,20
PfHvDmZVJjy13aEDFoQy,Baqa'a 2,,32.076817,35.84529,20
PfzcX1YfhJg1HPYR8iuI,Total Shafa Badran/Drive Thru ATM,,32.02810679,35.90086612,20
QJK0pXrcy0W4ACaJ0HQW,Asyut Branch,,27.4939674,30.7887354,20
QT4JIcfrY530ib9hSR8r,Irbid Thaqafeh 2,,32.538827,35.876161,20
QgeLjFB8WQJ6MaelwGgQ,City centre Almaza,,30.080841,31.366163,20
QgzaDm71iX3vLDzYRwlM,Al-Bireh,,31.907,35.210892,20
QuIZgitp8nnaKSIvAYIj,EMARAT MISR STATION - WAHAT ROAD,,29.956769,30.9582324,20
RDewVo3zyAgTgvJgc5DE,TOTAL AUC,,30.025995,31.488749,20
RIWrDElw1hkEpklPPo1o,Mivida,,30.000046,31.539698,20
RUk7HZ9iKrABbDYzQ8QO,ARKAN PLAZA,,30.020208,31.003801,20
RsqpO1a0undt0DV2z9wX,Qaser Al Fonon,,32.483275,35.299419,20
S81nQenCyAztSv78pDjH,Carrefour Yasmin,,31.923,35.897,20
S99yWOHQ16OZ8A2kke72,Aqaba,,29.528256,35.004276,20
SVu25o1IQlgY4TPOmUPm,Al-Dababiyeh Circle- Tabrbour ,,32.01241,35.95151,20
Sc0AI5AQlnAXp5GtN0lN,Betonia branch ,,31.898759,35.178149,20
SwvW3T3fiDOBKq5NgN63,Mujama‰Ûªa Al-Mahakem,,32.464277,35.294298,20
SzmKNwk3pJjkhxvjHwIR,Al-manarah branch 3,,31.905095,35.204723,20
T7iFVHZB1fFsKyUvxlcE,Russaifeh,,32.01664,36.04531,20
TBxpFJ1k9N7His1KnEfm,Total Station ‰ÛÒ Ghazeer,,34.011466,35.649718,20
TCSyfLR85wBU2Hm7Wv7n,NEW MAADI BRANCH,,29.969378,31.278639,20
TDipaXUaP2UOLWVAg5W3,LORAN BRANCH,,31.252466,29.972567,20
