priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
183,4619,ABHA,18.2407,42.57543,"Abha, Khamis high way (Al-Othaim Mall)",طريق ابها - الخميس العام . العثيم مول مقابل صناعيه ابها ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
184,4620,TANOMAH,18.932318,42.18955,Main St (Abha RD.) beside Al-Salamah Plaza,طريق ابهاالرئيسي بجوار السلام بلازا ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
185,4621,DAMAD,17.10175,42.782417,Main St. Damad market place beside Damad super market,شارع السوق بجوار سوبرماركت ضمد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
186,4622,BARIQ,18.934654,41.945618,Main St. (Jeddah RD.) beside Al-Badriah Super Market,طريق جده ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
187,4623,KHAMIS MUSHAIT,18.306583,42.730667,Khamis Mushait - king Fahad St. â city center,"خميس مشيط , شارع الملك فهد , مركز المدينة",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
188,4624,SAMTAH,16.5993,42.93745,Mobile Market street beside the mosque,شارع سوق الموبايل بجانب المسجد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
189,4625,BALJURASHI,19.85665,41.580082,JANOUB ROAD,طريق الجنوب,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
190,4626,JEDDAH,21.447567,39.300774,"South Jeddah, 14 Km St. beside STC CBO",كيلو 14 طريق مكه القديم,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
191,4627,JEDDAH,21.546082,39.196037,Solider mall beside the shourok shopping complex. Meshrafa district. Intersection Grenada St. & makarona St.,سوليدر مول تقاطع شارع المكرونة مع غرناطة\ حى مشرفة - جدة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
192,4628,JEDDAH,21.517555,39.18925, Al-Touba St. Al-Sharafya district,حي الشرفية -شارع التوبة ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
193,4629,JEDDAH,21.571295,39.14276,"Prince Sultan St. Al-Khaldia District, beside SAAB",شارع الامير سلطان,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
194,4630,JEDDAH,21.50945,39.2473,Sulimanyah ,"حي السلمانية , امام السلمانية مول",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
195,4631,JEDDAH,21.62702,39.111458,King Abdulaziz RD. Red Sea Mall,"طريق الملك عبدالعزيز , رد سي مول",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
196,4632,JEDDAH,21.598194,39.161972,"Quraysh, Al Bawadi District","حي البوادي, قريش",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
197,4633,JEDDAH,21.591743,39.18586,Al  Rabwa Area,منطقة الربوة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
198,4678,JEDDAH,21.596268,39.222816,Al-Safa district west of the Jeddah Mekkah high way.,حي الصفا بجوار طريق الحرمين بعد مستوصف الظافر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
199,4679,AL-JUMUM,21.613132,39.70093,"Central city, next to STC",الجموم الشارع العام ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
200,4680,AL LITH,20.14954,40.279633,"Al Balad Area, Central Market",الليث - البلد - مركز المدينة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
201,4681,MAKKAH AL-MUKARRAMAH,21.477274,39.79171,Bohyrat district,حي البحيرات,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
202,4682,RIYADH,24.574404,46.662895,"AL Nokba Center ""Badiea""",مركز النخب,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
203,4683,RIYADH,24.683872,46.791107,"Exit 15. Al-Salamah district, Abdul Rahman Bin Saad St",مخرج 15 طريق ال 100 بجوار شركة السلام,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
204,4684,RIYADH,24.646301,46.707302,Prince Abdullah bin Galway ST. from ALWashem ST.- in front of ALwatan Garden- Al-Morrabaa District â Shop NO 5,حي المربع طريق الملك فهد بجانب الأحوال المدنيه,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
205,4685,AL-KHARJ,24.166122,47.337246,"Al-Fursan District, King Fahad RD.",الخرج- طريق الملك فهد- بجوار هايبرد بنده,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
206,4686,AL-KHARJ,24.14569,47.29956,"King Saud Rd, Al Aziziyyah","العزيزية, شارع الملك سعود",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
207,4687,HAIL,27.479404,41.66001,Prince saud bin Abdullmohsin St.,شارع الامير سعود ابن عبد المحسن,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
208,4688,AL KHOBAR,26.29135,50.213547,King Fahad street,الخبر - شارع الملك فهد تقاطع 13,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
209,4689,HAFAR AL BATIN,28.4081,45.96815,Alsafwa center,حفرالباطن  مجمع الصفوه,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
210,4690,AL QATIF,26.55621,50.012913,Alqudus St. ,  القطيف شارع القدس مقابل معرض متسوبيشي للسيارات,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
211,4691,AL HOFUF,25.369135,49.58702,Alsouk St.,شارع السويق مقابل بنك الانماء ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
212,4692,AL HOFUF,25.435667,49.654,"Al-Helilah district, main St. in front of the City's Girls School","الحليله ,شارع الحليله الكلابيه العام مقابل مدارس البنات",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
213,4751,KHAMIS MUSHAIT,18.284508,42.72945,King faisal street,طريق الملك فيصل مقابل مركز شبرا للتسوق,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
214,4752,KHAMIS MUSHAIT,18.250168,42.789284,Air Force base St.,طريق القاعدة الجويه مقابل بوابه القاعده الجويه  ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
