data/name,data/address1,data/address2,data/address3,data/country,data/lat,data/lng,data/phoneNumber,data/faxNumber,data/information,data/type,data/externalLocationId,data/locationId
Sahara Centre,"Inside Sahara Center, Near Ramada - Al Nahda Street",Sharjah,,,25.297832,55.373628,,,Working Hours:<br/>Monday to Thursday: 10am to 10pm <br/>Friday: 10am to 12am<br/>Saturday: 10am to 12am<br/>Sunday: 10am to 12am <br>Consumer services only,BusinessCenter,20220156,20220156
Sharjah City Centre,"Inside Sharjah City Centre, Al Wehda Road,",Sharjah,,,25.325325,55.393082,,,Working Hours:<br/>Monday to Wednesday: 10am - 10pm<br/>Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220157,20220157
Al Manakh Business Centre,Flagship Store,"Etisalat Building, Al Manakh Area, Opposite to Abu Dhabi Islamic Bank (ADIB), Sharjah",,,25.354897,55.400197,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220158,20220158
Umm Al Quwain Business Center,"Etisalat Building, Umm Al Quwain, next to Umm Al Quwain Charity Association, Old Al Shabiya",Umm Al Quwain,,,25.576976,55.562078,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220159,20220159
Ajman Business Center,"Etisalat Ajman HRB, Etisalat Business Centre",Umm Al Quwain,,,25.39767309363462,55.47460559999999,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220160,20220160
Nouf Business Center,"Etisalat Building, Al Nouf Area, Sharjah, University City Road",Sharjah,,,25.28921,55.49999,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220161,20220161
Dhaid Service Centre,"Etisalat Building, Al Dhaid, Opposite to Economic Department",Sharjah,,,25.28189848,55.87649434,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220162,20220162
Al Majaz Business Center,"Etisalat Building, Near Buhairah & Hilton Hotel",Sharjah,,,25.328153,55.37672,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: closed <br>Consumer & business services,BusinessCenter,20220163,20220163
Sharjah Airport,"Inside Sharjah International Airport, Arrivals Area,",Sharjah,,,25.321407,55.521013,,,Working Hours:<br/>Monday to Thursday: 24/7<br/>Friday: 24/7<br/>Saturday: 24/7<br/>Sunday: 24/7 <br>Consumer services only,BusinessCenter,20220164,20220164
Kalba Service Centre,"Etisalat Building, Rugaylat Road",Fujairah,,,25.0597688,56.35530889,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 01pm<br/>Sunday: closed <br>Consumer services only,BusinessCenter,20220165,20220165
